OUT	TaxonomyUsearch
410	UTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes
411	SINTAX;k:Fungi
412	SINTAX;k:Fungi
414	SINTAX;k:Fungi
417	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
418	SINTAX;k:Fungi
419	SINTAX;k:Fungi
420	AB236921;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia,s:Metschnikowia cibodasensis
421	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus immersus
422	SINTAX;k:Fungi
428	AY188379;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Tremella
429	SINTAX;k:Plantae
431	SINTAX;k:Plantae
432	JF907824;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Conocybe,s:Conocybe bulbifera
433	SINTAX;k:Fungi
434	GQ153239;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta
436	UTAX;k:Fungi,p:Ascomycota
437	UTAX;*
439	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
440	FR682233;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Occultifur
443	SINTAX;k:Plantae
445	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
449	UTAX;k:Fungi,p:Ascomycota
453	LC014563;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Massarinaceae,g:Keissleriella
455	SINTAX;k:Fungi
457	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes
458	KF871452;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
461	SINTAX;k:Fungi
462	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
463	SINTAX;k:Fungi,p:Ascomycota
465	AJ608974;k:Fungi,p:Ascomycota,c:Dothideomycetes
467	SINTAX;k:Plantae
471	UTAX;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales
472	SINTAX;k:Plantae
475	EF394860;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae,g:Ramularia,s:Ramularia eucalypti
477	KT269133;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Ascochyta
479	UTAX;k:Fungi,p:Ascomycota
481	SINTAX;k:Fungi
483	UTAX;k:Fungi,p:Ascomycota
485	SINTAX;k:Fungi,p:Ascomycota
490	AF444527;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales,f:Leucosporidiaceae,g:Leucosporidiella,s:Leucosporidiella muscorum
491	KC989090;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Phaeosphaeria,s:Phaeosphaeria pontiformis
493	AY443469;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium,s:Penicillium atrosanguineum
494	SINTAX;k:Fungi
496	SINTAX;k:Fungi
497	DQ491504;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus crenulatus
498	LN714011;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus
499	SINTAX;k:Fungi
501	JF449479;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Microbotryales
506	SINTAX;k:Fungi
507	UTAX;*
508	EU002887;k:Fungi,p:Basidiomycota,c:Ustilaginomycetes,o:Ustilaginales,f:Anthracoideaceae,g:Farysia,s:Farysia acheniorum
509	FJ515771;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Lecanicillium,s:Lecanicillium lecanii
511	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
512	SINTAX;k:Fungi
513	SINTAX;k:Fungi
514	AB469880;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,g:Monographella,s:Monographella cucumerina
515	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
516	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
517	GQ922566;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Meruliaceae,g:Bjerkandera
518	KC343067;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe,s:Diaporthe endophytica
519	HQ637314;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia pilosella
521	SINTAX;k:Fungi
522	SINTAX;k:Fungi
523	GU055682;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
526	SINTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes
527	SINTAX;k:Fungi
529	DQ463346;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Cyathus,s:Cyathus hookeri
531	UTAX;k:Fungi,p:Ascomycota
537	KC865289;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus,s:Cryptococcus tephrensis
538	SINTAX;k:Fungi,p:Mucoromycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus umbonatus
539	No Hit
540	HQ847051;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis ochraceolanata
541	DQ667165;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Kondoaceae,g:Kondoa,s:Kondoa malvinella
542	SINTAX;k:Fungi
544	KJ842594;k:Fungi
547	GU183110;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Chaetomium,s:Chaetomium cristatum
548	SINTAX;k:Fungi
550	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
552	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
554	SINTAX;k:Fungi
555	KJ869114;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Phaeosphaeria,s:Phaeosphaeria poagena
559	SINTAX;k:Fungi
560	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
561	SINTAX;k:Fungi
562	AY943049;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Westerdykella,s:Westerdykella nigra
563	SINTAX;k:Fungi
564	SINTAX;k:Fungi
566	UTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
568	KU746702;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Phialophora
569	SINTAX;k:Fungi
570	KJ827191;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
573	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
575	FJ025175;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Amphisphaeriaceae,g:Truncatella,s:Truncatella angustata
576	UTAX;k:Fungi,p:Ascomycota
577	SINTAX;k:Fungi
578	SINTAX;k:Fungi,p:Basidiomycota,c:Ustilaginomycetes,o:Ustilaginales,f:Ustilaginaceae,g:Ustilago
582	FJ590600;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor hiemalis
584	SINTAX;k:Fungi
590	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
591	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
592	JX401940;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
595	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
597	JX852358;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Chaetomium
598	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
602	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae
604	AF444596;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Kondoaceae,g:Kondoa
606	SINTAX;k:Fungi,p:Ascomycota
607	SINTAX;k:Fungi
608	HQ847039;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis sclerotiorum
609	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
611	KU164692;k:Fungi
613	KC427042;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae,g:Graphium,s:Graphium penicillioides
616	SINTAX;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Ostropales
618	KF617374;k:Fungi
619	UTAX;k:Fungi,p:Ascomycota
622	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
623	AY854962;k:Fungi,p:Basidiomycota,c:Exobasidiomycetes,o:Entylomatales,f:Entylomataceae,g:Entyloma,s:Entyloma browalliae
625	HQ649990;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Sarocladium
626	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
628	SINTAX;k:Plantae
629	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
631	KP891239;k:Fungi
633	KT799182;k:Fungi,p:Basidiomycota,c:Wallemiomycetes,o:Wallemiales,f:Wallemiaceae,g:Wallemia
634	JN159534;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus
635	FJ755274;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Valsaceae,g:Valsa,s:Valsa sordida
636	SINTAX;k:Fungi
637	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
638	JQ889278;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,g:Dinemasporium,s:Dinemasporium pseudostrigosum
639	No Hit
640	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
642	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
643	SINTAX;k:Fungi
645	HQ446088;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
646	LM652378;k:Fungi,p:Ascomycota,g:Gamsia,s:Gamsia aggregata
647	No Hit
648	DQ421093;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Strophariaceae,g:Agrocybe
654	UTAX;k:Fungi,p:Ascomycota
658	SINTAX;k:Fungi
659	SINTAX;k:Fungi
660	SINTAX;k:Fungi
662	UDB015522;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Strophariaceae,g:Protostropharia,s:Protostropharia semiglobata
663	SINTAX;k:Fungi
665	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
666	No Hit
667	GU055696;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium
669	SINTAX;k:Fungi
670	SINTAX;k:Fungi
673	SINTAX;k:Fungi,p:Basidiomycota,c:Microbotryomycetes
675	KT268963;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae,g:Paraphaeosphaeria
676	SINTAX;k:Fungi
678	SINTAX;k:Plantae
679	SINTAX;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,g:Rhodotorula
680	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
681	FJ462759;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe,s:Diaporthe longicolla
683	FJ820801;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium
685	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
686	KF381086;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus micaceus
687	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
689	SINTAX;k:Fungi,p:Ascomycota
690	JF289146;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Aspergillus
693	AF455533;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales,f:Dothioraceae,g:Aureobasidium,s:Aureobasidium pullulans
694	KX082929;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Clonostachys,s:Clonostachys rosea
696	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus
697	SINTAX;k:Fungi
698	AF444410;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus
700	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
701	KX274240;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Tremateia
702	UTAX;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae
705	EF504855;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
706	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
707	AF444630;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales,f:Leucosporidiaceae,g:Leucosporidium
709	GU054203;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Periconia
710	FJ820573;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae
711	FJ527034;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus
712	AF444530;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,g:Rhodotorula,s:Rhodotorula fragaria
713	EU718113;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Sclerodermataceae,g:Pisolithus
718	KC005774;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Phialophora,s:Phialophora livistonae
719	KC510275;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae,g:Paraconiothyrium
723	AY999119;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Schizothecium,s:Schizothecium curvisporum
726	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae
729	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
731	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
732	JN206049;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor flavus
733	SINTAX;k:Fungi,p:Ascomycota
734	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes
735	EU484199;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor mucedo
737	SINTAX;k:Fungi
738	JX043059;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae
739	AF444574;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,g:Curvibasidium,s:Curvibasidium cygneicollum
740	GU073010;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Rhinocladiella
742	UTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes
747	UTAX;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales
748	JF499833;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae,g:Catenulostroma,s:Catenulostroma hermanusense
749	UTAX;k:Fungi,p:Ascomycota
751	KJ158178;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium,s:Penicillium restrictum
753	FJ755227;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,g:Panaeolus,s:Panaeolus papilionaceus
754	AF260328;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Pyrenophora,s:Pyrenophora chaetomioides
756	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
759	KM247513;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Sebacinaceae
760	GQ272637;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
762	SINTAX;k:Fungi
765	SINTAX;k:Fungi
768	UTAX;k:Fungi,p:Ascomycota
770	SINTAX;k:Fungi
771	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
773	AY854979;k:Fungi,p:Basidiomycota,c:Exobasidiomycetes,o:Entylomatales,f:Entylomataceae,g:Entyloma,s:Entyloma matricariae
774	SINTAX;k:Fungi,p:Ascomycota
777	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
779	AJ244276;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales,f:Dothioraceae,g:Pringsheimia,s:Pringsheimia euphorbiae
781	UTAX;k:Fungi,p:Mucoromycota,o:Mortierellales,f:Mortierellaceae,g:Mortierella,s:Mortierella capitata
782	EF505182;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria
785	SINTAX;k:Fungi
787	SINTAX;k:Fungi
788	SINTAX;k:Fungi
789	KC412006;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Calycina,s:Calycina claroflava
790	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
793	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
797	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
798	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
800	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
801	SINTAX;k:Fungi,p:Ascomycota
803	UTAX;k:Fungi,p:Ascomycota
804	UTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes
807	FJ466728;k:Fungi,p:Ascomycota,c:Sordariomycetes,f:Apiosporaceae,g:Arthrinium
808	EU516854;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae
809	EF635677;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales
810	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium
811	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium
816	SINTAX;k:Fungi
819	SINTAX;k:Fungi,p:Ascomycota
820	AJ131785;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales,f:Onygenaceae,g:Castanedomyces,s:Castanedomyces australiensis
829	JN943646;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Drechslera,s:Drechslera andersenii
831	UTAX;k:Fungi,p:Ascomycota,c:Leotiomycetes
832	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
833	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
834	SINTAX;k:Plantae
835	UTAX;*
838	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
839	KF251289;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae,g:Caryophylloseptoria,s:Caryophylloseptoria lychnidis
840	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
841	AJ276056;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium,s:Penicillium glabrum
843	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
845	KF636767;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Pyrenochaeta
846	SINTAX;k:Fungi,p:Ascomycota
847	EU142874;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium
850	GU721875;k:Fungi,p:Ascomycota,c:Dothideomycetes
853	SINTAX;k:Fungi
854	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae
863	FR682366;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium
864	KX776634;k:Fungi
865	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
866	JX042827;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta
867	SINTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
871	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
876	SINTAX;k:Fungi
881	SINTAX;k:Fungi,p:Ascomycota,c:Leotiomycetes
882	SINTAX;k:Fungi,p:Ascomycota
884	KR014366;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
885	AF178399;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium
886	JF424355;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
888	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
893	SINTAX;k:Fungi
894	UTAX;*
898	UTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Ganodermataceae,g:Ganoderma,s:Ganoderma australe
902	UTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
904	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae
909	SINTAX;k:Fungi
910	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
911	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
912	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
914	SINTAX;k:Fungi
917	DQ923539;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Valsaceae,g:Valsa,s:Valsa fabianae
918	AY999136;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Cercophora,s:Cercophora coprophila
920	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
924	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
925	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales,f:Onygenaceae,g:Shanorella
927	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
930	GU586848;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae,g:Chloridium
931	GU237901;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Stagonosporopsis,s:Stagonosporopsis oculi-hominis
932	FJ571431;k:Fungi,p:Ascomycota
934	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus immersus
935	HQ847035;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis filamentifera
937	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
941	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
942	SINTAX;k:Fungi,p:Ascomycota
945	SINTAX;k:Fungi
948	JF432992;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Cladorrhinum
950	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
951	SINTAX;k:Fungi,p:Ascomycota
952	AJ496633;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Sigarispora,s:Sigarispora arundinis
954	AY970145;k:Fungi,p:Basidiomycota,c:Tremellomycetes
956	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
957	SINTAX;k:Fungi
959	KM519376;k:Fungi,p:Ascomycota,c:Dothideomycetes
960	UTAX;*
961	SINTAX;k:Fungi
962	LT602885;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Microbotryales,f:Ustilentylomataceae,g:Microbotryozyma
963	KJ572140;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Ascochyta
964	SINTAX;k:Fungi
966	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
969	SINTAX;k:Fungi
970	AY587918;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Lasiosphaeria,s:Lasiosphaeria lanuginosa
972	SINTAX;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes
973	SINTAX;k:Fungi
975	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
978	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
981	EU035449;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Venturiaceae,g:Venturia,s:Venturia atriseda
983	UTAX;k:Protista,p:Cercozoa
988	AY239214;k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Taphrinaceae,g:Taphrina,s:Taphrina inositophila
990	EU280138;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma,s:Trichoderma samuelsii
991	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
993	EU164801;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae,g:Ramularia,s:Ramularia coccinea
994	UTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
995	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
996	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
997	EU925387;k:Fungi,p:Ascomycota,g:Myriodontium,s:Myriodontium keratinophilum
998	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
